Epoch,Train Loss,Validation Loss,Train IoU,Validation IoU,Train Dice,Validation Dice,Precision,Recall,Learning Rate
1,1.375299598489489,1.5334051549434662,0.2758041630898203,0.1677843015640974,0.3903087590421949,0.24913642928004265,0.16777213590130924,1.0,0.0001
2,1.226538632597242,1.837788313627243,0.40837588374103817,0.16800148598849773,0.5378247095005853,0.24934744648635387,0.16791763348745903,1.0,0.0001
3,1.1232511699199677,1.2686132788658142,0.528783278805869,0.4052199423313141,0.657193973660469,0.5238914415240288,0.36947325068362113,0.9600275845046147,0.0001
4,1.0652207476752145,1.2109886705875397,0.6507565506867,0.5249443352222443,0.7611849818910871,0.6441823244094849,0.5300958478521396,0.9540493182478172,0.0001
5,1.0131357439926691,0.9893892258405685,0.6791992272649493,0.7408930361270905,0.7772849159581321,0.8341688811779022,0.7973913817324838,0.9258310951602158,0.0001
6,0.9917742184230259,0.9802722930908203,0.7077215654509408,0.7066253125667572,0.8042670786380768,0.8091945201158524,0.7283171569937495,0.9752325351567932,0.0001
7,0.9671196128640857,0.9716557115316391,0.7287942937442234,0.6945852041244507,0.8213457380022321,0.7878969609737396,0.7993764749267379,0.9317074113560113,0.0001
8,0.9338988789490291,0.9643973857164383,0.7907696408884866,0.7153242528438568,0.8701107161385673,0.8089388310909271,0.7993708810515767,0.900602909904932,0.0001
9,0.9346825565610614,0.8925167769193649,0.7990678080490657,0.7862908691167831,0.8757814807551247,0.8633559346199036,0.8405101996267503,0.927451259353908,0.0001
10,0.9341401415211814,0.93410424888134,0.7427912162882941,0.7413930743932724,0.8268697474684034,0.8355358392000198,0.8439923205778008,0.9226014176845463,0.0001
11,0.9186425634792873,0.9213684350252151,0.7276559450796672,0.692949503660202,0.8158295346157891,0.7877052873373032,0.800976272066781,0.944120242961246,0.0001
12,0.8973632667745862,0.8543833792209625,0.7911202396665301,0.8066898733377457,0.8704069937978473,0.8802842646837234,0.8492564588890505,0.9638238496553876,0.0001
13,0.8838992374283927,0.8895285725593567,0.8065439930983952,0.8121950179338455,0.8765144944190979,0.8794912397861481,0.9430997217770664,0.8758127695918073,0.0001
14,0.8648080612931933,0.9110316932201385,0.8176265529223851,0.7258904129266739,0.8878780135086605,0.8214941173791885,0.7922653154707214,0.9601671170896074,0.0001
15,0.8491774116243634,0.866856724023819,0.827867009810039,0.7916816771030426,0.8953088011060443,0.8722156435251236,0.8420607675145113,0.9574686838743294,0.0001
16,0.8436097204685211,0.8681011348962784,0.8025910386017391,0.8140584826469421,0.8771199839455741,0.8817589282989502,0.9619872651221398,0.890453449459632,0.0001
17,0.843277381999152,0.8157015442848206,0.8087071520941598,0.8384994119405746,0.8770771622657776,0.9017299562692642,0.8717092039718819,0.9734279623684249,0.0001
18,0.8144817990916116,0.8460193872451782,0.8361939702715192,0.8337967246770859,0.8991481278623853,0.8894933015108109,0.9186067465453378,0.9420948296702587,0.0001
19,0.8049387506076268,0.8082201778888702,0.8520864120551518,0.8513402044773102,0.9115767436368125,0.9092207103967667,0.8984019106987553,0.9702107135934411,0.0001
20,0.7862326460225242,0.8376411944627762,0.8750294830117907,0.8038511574268341,0.9231769527707782,0.8704116642475128,0.899746809735708,0.9121052258025375,0.0001
21,0.7838294633797237,0.8015388995409012,0.8820458054542542,0.8303566724061966,0.9315851501056126,0.8795892745256424,0.9375542341084837,0.9198990405764293,0.0001
22,0.7880456447601318,0.8493195921182632,0.8414424742971148,0.7352733612060547,0.9030146641390664,0.8368967026472092,0.7915202140978933,0.9505857139885758,0.0001
23,0.7926323371274131,0.790892481803894,0.8381248712539673,0.796564593911171,0.8973679840564728,0.848991721868515,0.9583494158967979,0.8597246799029403,0.0001
24,0.7649875198091779,0.8108353167772293,0.8664167395659855,0.8358065336942673,0.917108314377921,0.8971887826919556,0.8858857190133748,0.9646011859201644,0.0001
25,0.7711614498070308,0.7593567818403244,0.8464627436229161,0.8249770402908325,0.9063020774296352,0.8769019097089767,0.8985032596389335,0.9543622120271322,0.0001
26,0.7725175235952649,0.8014772683382034,0.8339004133428846,0.8064382672309875,0.897147285086768,0.8737372010946274,0.8781240812263256,0.9253958956062903,0.0001
27,0.7569348088332585,0.759923666715622,0.8566254207066127,0.8495463281869888,0.9156761808054787,0.9106876701116562,0.880463158537623,0.9634311080922403,0.0001
28,0.7582564566816602,0.7867999076843262,0.8428533673286438,0.783746212720871,0.9059458502701351,0.8635081499814987,0.8288146377379191,0.9710795920472859,0.0001
29,0.7428758165666035,0.8478546887636185,0.8565630103860583,0.6696722209453583,0.9140619933605194,0.7813289016485214,0.7615388586173573,0.9136818950650818,0.0001
30,0.7642610626561301,0.7778489142656326,0.823781219976289,0.7683139592409134,0.8903945301260267,0.8439035564661026,0.8499284667086487,0.9375810242054207,0.0001
31,0.7374354941504342,0.7568691223859787,0.87045761517116,0.8389055132865906,0.9207201089177813,0.8942645639181137,0.8816226735703366,0.9657673490733415,0.0001
32,0.7262525047574725,0.7626200169324875,0.8721120229789189,0.8364015072584152,0.9252973667212895,0.8935931921005249,0.9145268313607499,0.9389500766298003,0.0001
33,0.7084224032504218,0.7311845868825912,0.8764944331986564,0.8394918888807297,0.9249011065278735,0.8960007280111313,0.8869747389038394,0.9660036125841087,0.0001
34,0.7050414979457855,0.720271036028862,0.8548509925603867,0.8635378777980804,0.9081038449491773,0.9165376871824265,0.9059282300265507,0.9729507407780059,0.0001
35,0.6855148800781795,0.7387373745441437,0.9244562344891685,0.8533685356378555,0.9580886321408408,0.8947674483060837,0.9680202877644821,0.9226716789267311,0.0001
36,0.6831700078078679,0.737831711769104,0.8940012497561318,0.7973313927650452,0.9385139218398503,0.8702690750360489,0.8453517637290608,0.9550502012778224,0.0001
37,0.6896376865250724,0.703619197010994,0.8890621108668191,0.8633995056152344,0.9367773192269462,0.9155774414539337,0.9405601966682312,0.9528359312729271,0.0001
38,0.6694151588848659,0.6848021000623703,0.9220686469759259,0.8598841726779938,0.9564048477581569,0.9140349924564362,0.9110611757375587,0.96176199392303,0.0001
39,0.6603237965277263,0.7162011861801147,0.9002178013324738,0.8377916365861893,0.9436647423676082,0.9028034210205078,0.8676263079083916,0.9842078766154648,0.0001
40,0.645463798727308,0.69785276055336,0.9399692245892116,0.8741450905799866,0.9681870894772666,0.9155413806438446,0.9479055404191934,0.9403056610959246,0.0001
41,0.6479736374957221,0.683205783367157,0.9185582016195569,0.8658237904310226,0.95488241314888,0.9030097424983978,0.9415996648463791,0.9488913247305739,0.0001
42,0.6662853828498295,0.6620070338249207,0.8926173448562622,0.8729836493730545,0.9356970744473594,0.9080294966697693,0.9540169650653396,0.9463461603367535,0.0001
43,0.6522585047142846,0.6752562522888184,0.890048840216228,0.8693386167287827,0.9358723759651184,0.9163764715194702,0.9695735854141252,0.9466189988497417,0.0001
44,0.6320617475679943,0.649980291724205,0.9017995191471917,0.8901539444923401,0.941174294267382,0.9355924874544144,0.9476286295589373,0.9627581237512133,0.0001
45,0.6561527507645744,0.6740401536226273,0.8682608987603869,0.8238112777471542,0.9183455875941685,0.8743985146284103,0.9103788672992814,0.9250964525481645,0.0001
